,CBSA Name,Latitude,Longitude
0,"Montgomery, AL",32.437458,-86.472891
5,"Daphne-Fairhope-Foley, AL",,
184,"Eufaula, AL-GA",31.891272,-85.13521
252,"Birmingham-Hoover, AL",32.904048,-87.233057
256,"Anniston-Oxford-Jacksonville, AL",33.656771,-85.824409
264,,32.209311,-88.051961
281,"Enterprise, AL",31.056847,-87.259142
284,"Florence-Muscle Shoals, AL",34.737034,-87.886701
425,"Cullman, AL",34.180758,-86.841452
429,"Selma, AL",32.102367,-87.31416
433,"Fort Payne, AL",34.456508,-85.671628
493,"Gadsden, AL",33.999819,-86.107475
630,"Dothan, AL",31.118822,-86.157749
662,"Scottsboro, AL",34.948137,-85.714415
5331,"Decatur, AL",34.479262,-87.291687
5400,"Auburn-Opelika, AL",32.643467,-85.403003
5401,"Huntsville, AL",34.828977,-86.975285
5695,"Albertville, AL",34.336759,-86.311926
5697,"Mobile, AL",30.400197,-88.251423
7405,"Troy, AL",31.807963,-85.993586
7428,"Columbus, GA-AL",32.472136,-85.005028
8597,"Talladega-Sylacauga, AL",33.25817,-86.343588
8622,"Alexander City, AL",32.930124,-85.941075
8623,"Tuscaloosa, AL",33.2071,-87.547793
8744,"Anchorage, AK",61.216392,-149.899428
9228,"Fairbanks, AK",64.832894,-147.719128
10173,"Juneau, AK",58.29822,-134.409728
10399,"Ketchikan, AK",55.342931,-131.644251
11153,"Sierra Vista-Douglas, AZ",31.410556,-109.876111
11556,"Flagstaff, AZ",36.051403,-112.14214
12342,"Payson, AZ",33.446944,-110.840833
12679,"Safford, AZ",32.83388,-109.718611
12786,"Phoenix-Mesa-Scottsdale, AZ",33.420631,-112.344345
16676,"Lake Havasu City-Kingman, AZ",35.187222,-114.064167
16980,"Show Low, AZ",34.939722,-110.125278
17167,"Tucson, AZ",32.382036,-112.857453
18794,"Nogales, AZ",31.333473,-110.867344
18923,"Prescott, AZ",34.534722,-112.479722
19165,"Yuma, AZ",32.723968,-114.6244
19435,"Mountain Home, AR",36.332307,-92.383496
19436,"Fayetteville-Springdale-Rogers, AR-MO",36.333971,-94.125495
19449,"Harrison, AR",36.230349,-93.110455
19456,"Arkadelphia, AR",34.121207,-93.054062
19460,"Magnolia, AR",33.268184,-93.246279
19461,"Jonesboro, AR",35.838686,-90.708724
19496,"Fort Smith, AR-OK",35.444821,-94.354389
19497,"Memphis, TN-MS-AR",35.212887,-90.203983
19675,"Little Rock-North Little Rock-Conway, AR",35.088696,-92.43849
19696,"Hot Springs, AR",34.510677,-93.052402
19736,"Paragould, AR",36.050092,-90.490104
19740,"Hope, AR",33.672917,-93.596305
19743,"Batesville, AR",35.777577,-91.65125
19764,"Pine Bluff, AR",34.399818,-91.975417
19827,"Texarkana, TX-AR",33.425625,-94.040543
20208,"Blytheville, AR",35.927595,-90.000089
20352,"Camden, AR",33.587614,-92.833219
20355,"Helena-West Helena, AR",34.529766,-90.586049
20449,"Russellville, AR",35.277327,-93.135184
21139,"Forrest City, AR",35.010648,-90.786501
21196,"El Dorado, AR",33.210708,-92.662109
21300,"Searcy, AR",35.24894,-91.715596
21381,"San Francisco-Oakland-Hayward, CA",37.87687,-122.266913
22556,"Chico, CA",39.73515,-121.841897
23889,"Crescent City, CA",41.752893,-124.199525
24001,"Sacramento--Roseville--Arden-Arcade, CA",38.90518,-120.013224
24414,"Fresno, CA",36.145789,-120.359316
26504,"Eureka-Arcata-Fortuna, CA",40.77596,-124.190062
26683,"El Centro, CA",32.979213,-115.530267
27342,"Bishop, CA",37.35354,-118.400943
28078,"Bakersfield, CA",35.383592,-119.017598
30342,"Hanford-Corcoran, CA",36.052739,-119.570676
30659,"Clearlake, CA",39.155724,-122.845549
31045,"Susanville, CA",40.412396,-120.633283
31048,"Los Angeles-Long Beach-Anaheim, CA",34.104175,-118.409246
36065,"Madera, CA",36.954669,-120.037383
36712,"Ukiah, CA",39.435168,-123.80946
36790,"Merced, CA",37.060778,-120.849637
37238,"Salinas, CA",36.521905,-121.806061
37394,"Napa, CA",38.296836,-122.290498
37511,"Truckee-Grass Valley, CA",39.218783,-121.053282
38813,"Riverside-San Bernardino-Ontario, CA",33.925865,-116.876137
42444,"San Jose-Sunnyvale-Santa Clara, CA",36.85551,-121.39299
44151,"San Diego-Carlsbad, CA",32.631242,-117.059088
47624,"Stockton-Lodi, CA",38.133237,-121.275747
48205,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",35.174976,-120.537111
48693,"Santa Maria-Santa Barbara, CA",34.338607,-119.505121
50695,"Santa Cruz-Watsonville, CA",36.98995,-121.925792
50804,"Redding, CA",40.467357,-122.289977
51143,"Vallejo-Fairfield, CA",38.052142,-122.145799
51384,"Santa Rosa, CA",38.804267,-123.018142
51519,"Modesto, CA",37.640763,-120.999378
52245,"Yuba City, CA",39.27489,-121.667748
52336,"Red Bluff, CA",40.177655,-122.245552
52453,"Visalia-Porterville, CA",36.194406,-119.09261
52908,"Sonora, CA",37.985757,-120.384083
52931,"Oxnard-Thousand Oaks-Ventura, CA",34.215842,-119.038697
53992,"Denver-Aurora-Lakewood, CO",39.827594,-104.937668
55444,"Boulder, CO",40.018597,-105.278324
58204,"Edwards, CO",39.639153,-106.358917
58246,"Colorado Springs, CO",38.875271,-104.826642
58612,"Ca¤on City, CO",38.442621,-105.239718
58641,"Glenwood Springs, CO",39.531647,-107.780342
60822,"Durango, CO",37.097795,-108.180091
61197,"Fort Collins, CO",40.58365,-105.080162
61661,"Sterling, CO",40.621375,-103.20882
61674,"Grand Junction, CO",39.16137,-108.735377
62341,"Craig, CO",40.513027,-107.546177
62672,"Montrose, CO",38.477765,-107.876451
62697,"Fort Morgan, CO",40.257202,-103.623559
62888,"Pueblo, CO",38.266392,-104.61053
63207,"Steamboat Springs, CO",40.484138,-107.021476
63421,"Breckenridge, CO",39.491461,-106.047325
63441,"Greeley, CO",40.426373,-104.692791
64487,"Bridgeport-Stamford-Norwalk, CT",41.180375,-73.19289
65827,"Hartford-West Hartford-East Hartford, CT",41.586765,-72.799821
67438,"Torrington, CT",41.706932,-73.382875
67869,"New Haven-Milford, CT",,
69444,"Norwich-New London, CT",41.581652,-72.348399
69923,"Worcester, MA-CT",41.840814,-72.084777
69983,"Dover, DE",39.154722,-75.529444
70220,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.801127,-75.454065
